Region,Date,Price,Time left on Auction
US,4/7/2015 17:12,30000,Short
US,4/7/2015 17:42,30000,Short
US,4/7/2015 18:13,30300,Short
US,4/7/2015 18:42,30300,Short
US,4/7/2015 19:04,30603,Short
US,4/7/2015 20:04,30909,Short
US,4/7/2015 21:04,31218,Short
US,4/7/2015 22:04,30906,Short
US,4/7/2015 23:04,31215,Short
US,4/8/2015 0:04,30903,Short
US,4/8/2015 1:04,29685,Short
US,4/8/2015 1:34,29094,Short
US,4/8/2015 2:04,28515,Short
US,4/8/2015 2:34,27948,Short
US,4/8/2015 3:04,27392,Short
US,4/8/2015 3:19,27118,Short
US,4/8/2015 3:34,26847,Short
US,4/8/2015 3:49,26579,Short
US,4/8/2015 4:04,26313,Short
US,4/8/2015 4:19,26050,Short
US,4/8/2015 4:34,25790,Short
US,4/8/2015 4:49,25532,Short
US,4/8/2015 5:04,25277,Short
US,4/8/2015 5:19,25024,Short
US,4/8/2015 5:34,25024,Short
US,4/8/2015 5:49,25024,Short
US,4/8/2015 6:04,25024,Short
US,4/8/2015 6:19,24774,Short
US,4/8/2015 6:34,24774,Short
US,4/8/2015 6:49,24774,Short
US,4/8/2015 7:04,24774,Short
US,4/8/2015 7:19,24526,Short
US,4/8/2015 7:34,24526,Short
US,4/8/2015 7:49,24526,Short
US,4/8/2015 8:04,24526,Short
US,4/8/2015 8:19,24281,Short
US,4/8/2015 8:34,24281,Short
US,4/8/2015 8:49,24281,Short
US,4/8/2015 9:04,24281,Short
US,4/8/2015 9:19,24038,Short
US,4/8/2015 9:34,24038,Short
US,4/8/2015 9:49,24038,Short
US,4/8/2015 10:04,24038,Short
US,4/8/2015 10:19,23798,Short
US,4/8/2015 10:34,23798,Short
US,4/8/2015 10:49,23798,Short
US,4/8/2015 11:04,23798,Short
US,4/8/2015 11:19,23560,Short
US,4/8/2015 11:34,23560,Short
US,4/8/2015 11:49,23560,Short
US,4/8/2015 13:04,23324,Short
US,4/8/2015 13:19,23091,Short
US,4/8/2015 13:34,23091,Short
US,4/8/2015 13:49,23091,Short
US,4/8/2015 14:04,23091,Short
US,4/8/2015 14:19,22860,Short
US,4/8/2015 14:34,22860,Short
US,4/8/2015 14:49,22860,Short
US,4/8/2015 15:04,22860,Short
US,4/8/2015 15:19,22631,Short
US,4/8/2015 15:34,22631,Short
US,4/8/2015 15:49,22631,Short
US,4/8/2015 16:04,22631,Short
US,4/8/2015 16:19,22405,Short
US,4/8/2015 16:34,22405,Short
US,4/8/2015 16:49,22405,Short
US,4/8/2015 17:04,22405,Short
US,4/8/2015 17:19,22181,Short
US,4/8/2015 17:34,22181,Short
US,4/8/2015 17:49,22181,Short
US,4/8/2015 18:04,22181,Short
US,4/8/2015 18:19,21959,Long
US,4/8/2015 18:34,21959,Long
US,4/8/2015 18:49,21959,Long
US,4/8/2015 19:19,21739,Long
US,4/8/2015 19:34,21739,Long
US,4/8/2015 19:49,21739,Long
US,4/8/2015 20:04,21739,Long
US,4/8/2015 20:19,21522,Long
US,4/8/2015 20:34,21522,Long
US,4/8/2015 20:49,21522,Long
US,4/8/2015 21:04,21522,Long
US,4/8/2015 21:19,21307,Long
US,4/8/2015 21:34,21307,Long
US,4/8/2015 21:49,21307,Long
US,4/8/2015 22:04,21307,Long
US,4/8/2015 22:19,21094,Long
US,4/8/2015 22:34,21094,Medium
US,4/8/2015 22:49,21094,Medium
US,4/8/2015 23:04,21094,Medium
US,4/8/2015 23:19,20883,Long
US,4/8/2015 23:34,20883,Long
US,4/8/2015 23:49,20883,Long
US,4/9/2015 0:04,20883,Long
US,4/9/2015 0:34,20674,Medium
US,4/9/2015 0:49,20674,Medium
US,4/9/2015 1:04,20674,Medium
US,4/9/2015 1:19,20467,Medium
US,4/9/2015 1:34,20467,Long
US,4/9/2015 1:49,20467,Medium
US,4/9/2015 2:04,20467,Medium
US,4/9/2015 2:19,20370,Medium
US,4/9/2015 2:34,20370,Medium
US,4/9/2015 2:49,20370,Medium
US,4/9/2015 3:04,20370,Medium
US,4/9/2015 3:19,20574,Short
US,4/9/2015 3:34,20574,Short
US,4/9/2015 3:49,20574,Short
US,4/9/2015 4:04,20574,Short
US,4/9/2015 4:19,20780,Short
US,4/9/2015 4:34,20780,Short
US,4/9/2015 4:49,20780,Short
US,4/9/2015 5:04,20780,Short
US,4/9/2015 5:19,20988,Short
US,4/9/2015 5:34,20988,Short
US,4/9/2015 5:49,20988,Short
US,4/9/2015 6:04,20988,Short
US,4/9/2015 6:19,21198,Short
US,4/9/2015 6:34,21198,Short
US,4/9/2015 6:49,21198,Short
US,4/9/2015 7:04,21198,Short
US,4/9/2015 7:19,21410,Short
US,4/9/2015 7:34,21410,Short
US,4/9/2015 7:49,21410,Short
US,4/9/2015 8:04,21410,Short
US,4/9/2015 8:19,21624,Short
US,4/9/2015 8:34,21624,Short
US,4/9/2015 8:49,21624,Short
US,4/9/2015 9:19,21840,Short
US,4/9/2015 9:34,21840,Short
